WORD,ROOT
فلأديبهما,ادب
مزمزتاهم,مزمز
تهيما,هيم
فلمتطفلي,طفل
وستروبهن,روب
استنشدتماها,نشد
فطربتانا,طرب
فأزاوجكما,زوج
سيغطسوننا,غطس
جهميكن,جهم
ففلكيي,فلك
فتهدلتا,هدل
ويبدؤوه,بدء
ولمستعط,عطى
ولتجرجرنهما,جرجر
برابحكما,ربح
تتريثوا,ريث
فظلمتيه,ظلم
ولهوامشهن,همش
فنحسدك,حسد
وعشبيين,عشب
وثومي,
فلبسيطي,بسط
وشائجهم,وشج
موهناها,موه
فستنازلنا,نزل
أمررته,مر
ولطالقهما,طلق
لتناجداها,نجد
بالمرتعدة,رعد
لمستغلاتهم,غل
ولمهلككما,هلك
وكوبركن,وبر
وكمسجونتيك,سجن
كقرينيكما,قرن
وستدفئانكن,دفئ
سيخدرننا,خدر
فزوجيتا,زوج
وسنستجديكم,جدو
لرطمتمانا,رطل
فعلقماهما,علقم
مستقبحتكم,قبح
سيبلدك,بلد
ولواصفي,وصف
فدبباكن,دب
فكالمستجدتين,جد
فلنستحليك,حلى
بحرانيتين,بحر
لأعاناهن,عون
ولتستوطنهما,وطن
وتهلسينني,هلس
وأبقياهم,بقى
التناظر,نظر
ليقيلاه,قيل
فزجلوه,زجل
وليدحروني,دحر
ولبدايتنا,بدء
فكاشتراطيتنا,شرط
فراضيا,رضى
ويعوضني,عوض
لحضنتها,حضن
فيهولونهم,هول
فبمسجلتكن,سجل
كنيبنا,نيب
لتربعنه,ربع
بسرايه,
استبنني,بين
ولتأزر,ازر
فسيتعاشرون,عشر
وبمشاكلتهم,شكل
وستصبغانهم,صبغ
لتنحرهم,نحر
فكموسوسيهم,وسوس
وتزلانني,زل
وإنشادها,نشد
للمتعلقتين,علق
فلتبعضاني,بعض
لمخزوناتنا,خزن
وأقحمتاهما,قحم
وتدمعك,دمع
وكأجرامهما,جرم
تثبرنهما,ثبر
ستعنتانكما,عنت
ولإعتاقهما,عتق
نرى,رأى
وسيغفلانكم,غفل
فلهمتما,لهم
بمتطلباتها,طلب
فكنساجتيها,نسج
فليوافوهم,وفى
لداولهم,دول
لمتبنها,تبن
ليمقعوا,مقع
لطيراك,طير
مخزيتي,خزى
الأرزة,
فمساعداكم,سعد
ولجداوله,جدول
وملاكتيهن,ملك
فبغضتنهما,بغض
كمؤسسيتكما,اسّ
وتضمانهما,ضم
يانعتانا,ينع
بنيوياه,بنى
فالمضغة,مضغ
مستجداتهم,جد
تهتاجون,هيج
وجثمانيي,جثم
وكمصلحي,صلح
كمنحنيتي,حنى
فلتحدروه,حدر
وجندتموني,جند
وكمقرونتنا,قرن
وبجمالاتي,جمل
بواهبه,وهب
فالتمكين,مكن
وكنبعها,نبع
وبميداليته,
لافتقرن,فقر
يضيئانك,ضوء
كإنسهم,انس
وأطرنا,اطر
وسيمغصنهن,مغص
وجويتي,جو
فكاندفاعتكم,دفع
ككركوك,
تمتان,مت
ستذاكرهم,ذكر
فكسوطهن,سوط
نلتبس,لبس
فليغمدوكما,غمد
لمغارسي,غرس
بقنصلك,
إضبارتاهن,ضبر
فيتقاربن,قرب
فبتفقيركن,فقر
فسيبلله,بل
وبلغتموهم,بلغ
فبالثنائيتين,ثني
وفحمتيكما,فحم
وأنصتكم,نصت
وأكلفكما,كلف
فكجحودنا,جحد
فبدعوتيهن,دعو
فبحسكتكم,حسك
نقلتاكن,نقل
فبابتداءي,بدء
سأعابثكما,عبث
فكمبيالتيهم,
وستحتكرونهم,حكر
جريمتين,جرم
فمدمرتكم,دمر
ترصعانا,رصع
ولتتشكرا,شكر
كمعاييرهن,عير
لأغربنكم,غرب
فهازلتين,هزل
وبثانيته,ثني
وترسمها,رسم
فكالتباغض,بغض
سنشنعك,شنع
فلأروية,
فلتفلقاك,فلق
ليتخذاني,اخذ
لمهربهن,هرب
فستقاسمينه,قسم
فقصقصتهن,قصقص
والقراح,قرح
برمضائك,رمض
وليخالفه,خلف
يستقبلوننا,قبل
وابتكار,بكر
لعطريكما,عطر
ونفاعله,فعل
سيكرهاننا,كره
فشتمتنهم,شتم
ككتابهما,كتب
وسيقولون,قول
فيتعكر,عكر
وسينوطهن,نوط
كالبيضويين,بيض
حقولهم,حقل
قبلتهن,قبل
لحياتيي,حيو
ولنلطم,لطم
ولنبكرهم,بكر
فسيسومونه,سوم
وبخوذتكما,
كإكثاركما,كثر
كحليلي,حل
فبمربياتهن,ربو
فهدرتنهما,هدر
فلمعتدتيهم,عد
ووطنوا,وطن
ليؤخركن,اخر
فبقطرانهما,قطرن
بالزملاء,زمل
وكمغلتكما,غل
فبجريحكم,جرح
فلمليجراميكما,
فلكلمتكم,كلم
القوقازية,
فسيرسخونكما,رسخ
كعكوف,عكف
فلتعديليكن,عدل
لتداعبوهن,دعب
وستعتقلنا,عقل
وبطبيبها,طب
خبازتا,خبز
وسيفتتحنني,فتح
فليخلجن,خلج
فرضيعنا,رضع
فلتطاهرن,طهر
ملأ,ملأ
بشروحك,شرح
وكبرعم,برعم
جرزته,جرز
فبنصبتنا,نصب
والعجز,عجز
فلأبذركما,بذر
فتقدمنه,قدم
ولمعياره,عير
