WORD,ROOT
آخر,اخر
آخراً,اخر
آداب,ادب
آلة,اول
آلى,الو
آلي,اول
آلية,اول
آمن,امن
آمنة,امن
آني,اون
أبجدي,
أبدأ,بدء
أبلع,بلع
أبوي,ابو
أبيض,بيض
أجوبة,جوب
أحادي,احد
أُحاديِّ,احد
أحرز,حرز
أحرف,حرف
أحمر,حمر
أخبار,خبر
أخدم,خدم
أخذ,اخذ
أخضر,خضر
أخطاء,خطى
أخلاقيات,خلق
أداة,ادو
أدنى,دنو
أذون,اذن
أربعة,ربع
أرسل,رسل
أرشيف,
أرشيفي,
أرقام,رقم
أرملة,رمل
أزرار,زر
أزمة,ازم
أُس,اسّ
أسئلة,سأل
أسابيع,سبع
أساس,اسّ
أساسٌ,اسّ
أساسي,اسّ
أساسية,اسّ
أسبوع,سبع
أسبوعان,سبع
أسطورة,
أسفل,سفل
أسكي,سك
أسلوب,سلب
أسِّية,اسّ
أصفر,صفر
أصناف,صنف
أصيل,اصل
أطروحة,طرح
أعداد,عد
أعزف,عزف
أعظم,عظم
أعكس,عكس
أعلى,علو
أعيان,عين
أَغرَقَ,غرق
أغطية,غطو
أفتار,فتر
أفضل,فضل
أفقياً,افق
أفقية,افق
أقدم,قدم
أقذف,قذف
أقراص,قرص
أقصى,قصو
أكبر,كبر
أكبَر,كبر
أكتب,كتب
ألوان,لون
أمامية,ام
أمبير,
أمثَل,مثل
أمثلة,مثل
أميال,ميل
أنبوب,نب
أنبوبة,نب
أنظر,نظر
أو,
أوامر,امر
أولا,اول
أولاً,اول
أولوية,اول
أوًلي,ولى
أولية,اول
إبانة,بين
إبدال,بدل
إبراز,برز
إبرة,ابر
إبطال,بطل
إبعاد,بعد
إبلاغ,بلغ
إتاحة,تيح
إتمام,تم
إثبات,ثبت
إجابة,جوب
إجبارية,جبر
إجراء,جرى
إجراءات,جرى
إجرائية,جرى
إجمالي,جمل
إجمالية,جمل
إجهاض,جهض
إحاطة,حوط
إحالة,حول
إحداثيات,حدث
إحراز,حرز
إحساس,حس
إحصاء,حصى
إحصائيات,حصى
إحلال,حل
إخباري,خبر
إخبارية,خبر
إخراج,خرج
إخفاء,خفى
إِخلاء,خلو
إدارة,دور
إداري,دور
إِدَانَة,دين
إدخال,دخل
إدراج,درج
إدلاء,دلو
إذابة,ذوب
إذاعة,ذوع
إذاعية,ذوع
إِرْجاء,رجأ
إرساء,رسو
إرسال,رسل
إرشادات,رشد
إرضاء,رضى
إزاحة,زيح
إزالة,زول
إزعاج,زعج
إسناد,سند
إسهال,سهل
إشادات,شيد
إشارة,شور
إشباع,شبع
إشهاد,شهد
إصابة,صوب
إصدار,صدر
إصلاح,صلح
إضافة,ضيف
إضافي,ضيف
إطار,اطر
إطارات,اطر
إطلاق,طلق
إظهار,ظهر
إعادة,عود
إعداد,عد
إعدادات,عد
إعلان,علن
إغريقية,
إغفاءة,غفو
إغلاق,غلق
إقامة,قوم
إقبال,قبل
إقرار,قر
إقفال,قفل
إقلاع,قلع
إكثار,كثر
إكمال,كمل
إلحاق,لحق
إلخ,
إلصاق,لصق
إلغاء,لغو
إلكتروني,
إلكترونية,
إلمام,لم
إلى,الي
إليه,الي
إم,
إمضاء,مضى
إنتاج,نتج
إنترنت,
إنذار,نذر
إنشاء,نشأ
إنعاش,نعش
إنهاء,نهو
إهليلجي,هلج
إيداع,ودع
إيفاد,وفد
إيقاع,وقع
إيقاف,وقف
اتجاه,وجه
اتصال,وصل
اتصالات,وصل
اتفاق,وفق
اتقاء,وقى
اتمام,تم
اجتماع,جمع
احتقان,حقن
احتياط,حوط
احتياطي,حوط
احتياطية,حوط
اختبار,خبر
اختتام,ختم
اختر,ختر
اختزال,خزل
اختصار,خصر
اختيار,خير
ادارة,دور
ادخار,ذخر
ارتباط,ربط
ارسال,رسل
ارسل,رسل
ارقام,رقم
استبدال,بدل
استبدل,بدل
استثناء,ثني
استحقاق,حق
استخرج,خرج
استدعاء,دعو
استرجاع,رجع
استرداد,رد
استطلاع,طلع
استعاد,عود
استعادة,عود
استعداد,عد
استعلام,علم
استعمال,عمل
اِسْتِقْصاء,قصو
استمارة,مور
استمرار,مر
استنباط,نبط
